,title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,language
755,,,39.99,,,,,,,,,
756,,,46.491537396121885,,,,,,,,,
757,,,79.96,,,,,,,,,
758,,,41.99,,,,,,,,,
759,,,45.0,,,,,,,,,
760,,,14.95,,,,,,,,,
761,,,39.99,,,,,,,,,
762,,,46.491537396121885,,,,,,,,,
763,,,,,,,,,,,,
764,,,25.19,,,,,,,,,
765,,,46.491537396121885,,,,,,,,,
766,,,34.49,,,,,,,,,
767,,,46.491537396121885,,,,,,,,,
768,,,39.99,,,,,,,,,
769,,,,,,,,,,,,
770,,,19.95,,,,,,,,,
771,,,41.99,,,,,,,,,
772,,,40.66,,,,,,,,,
773,,,8.75,,,,,,,,,
774,,,46.491537396121885,,,,,,,,,
775,,,46.491537396121885,,,,,,,,,
776,,,46.491537396121885,,,,,,,,,
777,,,,,,,,,,,,
778,,,35.95,,,,,,,,,
779,,,54.99,,,,,,,,,
780,,,46.491537396121885,,,,,,,,,
781,,,52.64,,,,,,,,,
782,,,46.491537396121885,,,,,,,,,
783,,,46.491537396121885,,,,,,,,,
784,,,42.49,,,,,,,,,
785,,,46.99,,,,,,,,,
786,,,70.0,,,,,,,,,
787,,,11.89,,,,,,,,,
788,,,46.491537396121885,,,,,,,,,
789,,,29.99,,,,,,,,,
790,,,44.99,,,,,,,,,
791,,,7.99,,,,,,,,,
792,,,41.99,,,,,,,,,
793,,,54.99,,,,,,,,,
794,,,15.89,,,,,,,,,
795,,,64.95,,,,,,,,,
796,,,46.5,,,,,,,,,
797,,,52.79,,,,,,,,,
